Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
Arts & Entertainment: What two sitcoms did Ronnie Howard co-star in before becoming a movie director?|The Andy Griffith Show and Happy Days
World: What pop song can be heard at the Amsterdam museum that features this artist's paintings?|Vincent
Sports & Leisure: Who surpassed George Halas to become the NFL's all-time winningest coach?|Don Shula
History: Who had the higher approval rating after a year in office - Ronald Reagan or Bill Clinton?|Bill Clinton
Arts & Entertainment: What mythological hero beheaded the Gorgon, Medusa?|Perseus
World: What actress portrayed a 'spiritual go-between' in "Ghost"?|Whoopi Goldberg
History: What was Lady Di's maiden name before she kissed her prince?|Spencer
World: What Russian's corpse was washed twice a week in 1993?|V.I. Lenin's
Arts & Entertainment: What late "Theatre of Blood" horror actor left behind a $5 million art collection?|Vincent Price
Sports & Leisure: Who played and won more singles matches than any other pro tennis player in history?|Martina Navratilova
Sports & Leisure: What interrupted a World Series showdown between Oakland and San Francisco for 11 days in 1989?|An earthquake
World: What condiment was heralded in 19th-century ads reading "57 Varieties"?|Heinz Ketchup
World: Whose son Phil starred when "Mission: Impossible" returned to TV in 1988?|Greg Morris'
Sports & Leisure: Who did the Los Angeles Dodgers finally beat in a third trip to the World Series?|The New York Yankees
History: What president surprised reporters by showing off the scar from his gall bladder surgery?|Lyndon B. Johnson
Sports & Leisure: What running back did Packers' tackle, Henry Jordan, say was invisible when he ran with the ball?|Gale Sayers
Sports & Leisure: What golfer was famous for hitching up his pants while making one of his final round charges?|Arnold Palmer
Arts & Entertainment: What movie resulted in Arnold Schwarzenegger reportedly receiving a $14 million Gulfstream jet?|Terminator 2: Judgment Day
World: What 1974 fad had adults dashing through public places naked?|Streaking
History: What First Lady thought she was doing White House guests a great favor by serving them peanut soup?|Rosalynn Carter
People & Places: What country saw the Battle of the Bulge's "battered bastards of Bastogne" make a stand?|Belgium
History: Who did Fawn Hall describe as "every secretary's dream of a boss"?|Oliver North
Science & Nature: What would be most likely to rock your spacecraft between Mars and Jupiter?|Asteroids
Arts & Entertainment: What prop did Will Rogers, the "cowboy philosopher", use to rope in audiences at the Ziegfeld Follies?|A lasso
Science & Nature: What five-letter word denotes the smallest picture element displayed on a computer screen?|Pixel
Science & Nature: What was the nationality of the first test tube baby?|British
Sports & Leisure: Who's the only National League manager to win pennants in his first two seasons?|Tommy Lasorda
Science & Nature: How many times greater is the magnitude of a 5.0 earthquake than one of 2.0 on the Richter scale?|1000
World: What did Henry Ford offer Model T owners after 1915 sales exceeded projections?|A rebate
People & Places: Who was the first U.S. president to take a stroll on the Great Wall of China?|Richard Nixon
Sports & Leisure: What pastime was banned in Scotland in 1457 because it took too much time away from archery practice?|Golf
World: Which Marx brother, caught by his wife with a chorus girl, said: "I was whispering in her mouth"?|Chico
Sports & Leisure: What golfer hyped Hertz rental cars in TV spots?|Arnold Palmer
Sports & Leisure: Who starred in five World Series during his tenures with the Oakland A's and the New York Yankees?|Reggie Jackson
Sports & Leisure: Who was the first diver to receive perfect scores from all seven judges at an international event?|Greg Louganis
Sports & Leisure: What quarterback, while serving in Vietnam, threw passes on a makeshift field in Chu Lai?|Roger Staubach
History: What war saw the future Confederate president head a Mississippi regiment in 1846?|The Mexican War
Sports & Leisure: What Sega video game machine system shares its name with a band once fronted by Phil Collins?|Genesis
Science & Nature: How many bolts of lightning strike the U.S. every day - 2,500, 25,000 or 250,000?|250,000
World: What former U.S. president was issued Medicare Card Number 1 in 1965?|Harry Truman
Arts & Entertainment: Who got to give Liz Taylor a spanking in "Father of the Bride"?|Spencer Tracy
Arts & Entertainment: Who hit No. 1 with a song after her release from a hospital for spinal surgery?|Gloria Gaynor
World: What did over 20 percent of kids say they'd eat at every meal if they were president?|Ice cream
Science & Nature: What's likely to be the only planet visible between Venus and the horizon?|Mercury
Science & Nature: What U.S. state features an endangered manatee on some license plates?|Florida
World: What celebratory New Orleans song does a "Baby Lodie" diaper play at the first sign of wetness?|When the Saints Go Marching In
World: What explosive fashion sensation was named for the Pacific atoll where atomic bombs were tested?|The bikini
World: What did Pricilla Presley decide to open up to the public to stave off bankruptcy?|Graceland
Arts & Entertainment: What married woman caused an international scandal while playing Cleopatra in 1962?|Elizabeth Taylor
Sports & Leisure: What's the rarest poker hand?|A royal flush
World: What section of Queens did Mr. Whipple aptly film his first toilet paper commercial in?|Flushing
Sports & Leisure: What movie star had his shooting schedule worked around Los Angeles Lakers home games?|Jack Nicholson
World: What 1976 role featuring multiple personalities earned Sally Fields an Emmy?|Sybil
Sports & Leisure: What sport are you engaged in if you hang five, bomb out and spend the night with a wahine?|Surfing
Sports & Leisure: Whose all-time career record of 4,191 hits did Pete Rose break on September 11, 1985?|Ty Cobb's
Sports & Leisure: What NHL team shares its name with a well-known antarctic bird?|The Pittsburgh Penguins
History: What academy was a Civil War general superintendent of from 1852 to 1855?|U.S. Military Academy
History: What US founding father drew and published the first cartoon in an American newspaper?|Benjamin Franklin
History: Who became Haiti's first democratically elected leader four years after Jean Claude Duvalier fled?|Jean-Bertrand Aristide
World: What budding pop star spiced up her high school cheerleading by wearing flesh-colored panties?|Madonna
Science & Nature: What did Kim Basinger wear in her 1994 advertisement against wearing animal skin coats?|Nothing
Sports & Leisure: What did Americans sip most of by 1976 - coffee, milk or soft drinks?|Soft drinks
World: What feminist author donned ears and a tail while working in one of this man's clubs in 1964?|Gloria Steinem
History: What British monarch and her consort both share the same great-great-grandmother?|Queen Elizabeth and Prince Philip
Sports & Leisure: Who was the first golfer to amass $1 million in official earnings?|Arnold Palmer
World: What "Saturday Night Live" star portrayed Ross Perot in skits in 1992?|Dana Carvey
History: What did a lone Chinese demonstrator do right after standing in front of a tank in Tiennamen Square?|He climbed on top of it
Arts & Entertainment: What Lewis Carroll work offers this bit of whimsy: "All mimsy were the borogoves, and the mome raths outgrabe"?|Alice's Adventures in Wonderland
Sports & Leisure: What tennis great wielded an obsolete wooden racket in a failed 1991 comeback attempt?|Bjorn Borg
Science & Nature: What phenomena's emissions are called "Hawking radiation" in honor of this physicist?|A black hole's
Science & Nature: What French sex symbol made the killing of baby harp seals a worldwide cause celebre?|Brigitte Bardot
People & Places: What was banned in France, prompting 3'11" Manuel Wackenheim to sue the Interior Ministry?|Dwarf tossing
World: What TV show's headliner hit the White House to promote statehood for Moosylvania?|The Bullwinkle Show's
Sports & Leisure: What first baseman played a major league record 2,130 consecutive games?|Lou Gehrig
Arts & Entertainment: What did Liberace adorn his piano with?|A candelabra
World: What feline sent out the most autographed 8-by-10 glossies during the early 1970s?|Morris the Cat
Arts & Entertainment: Who ya gonna call?|Ghostbusters
Sports & Leisure: How many of every 10 baseball players who sign pro contracts never play in a major league game?|Nine
World: What movie saw Dustin Hoffman win an Oscar for playing an autistic savant?|Rain Man
History: What tragic event did Herb Morrison describe in very emotionally in a live radio broadcast?|The Hindenburg disaster
History: Who did Italian porn star Illona Staller offer to have sex with if he'd free foreigners, in 1990?|Saddam Hussein
Science & Nature: Which of the big, jungle cats is the only cat to be social rather than solitary?|The lion
People & Places: What Olympic city boasts an ornate church designed by Antonio Gaudi?|Barcelona
History: What three-word phrase was most frequently scribbled as graffiti during World War II?|Kilroy was here
Sports & Leisure: What team has failed to win a World Series since selling Babe Ruth to the New York Yankees in 1920?|The Boston Red Sox
People & Places: What collection of architectural marvels is The Great Pyramid the only modern survivor of?|The Seven Wonders of the World
Science & Nature: What type of nucleic acid carries hereditary information from generation to generation?|DNA
Arts & Entertainment: Where did Peter, Paul and Mary say the answer is in a 1962 song?|Blowin' in the wind
Sports & Leisure: Who were the combatants in a 1993 prize fight rudely interrupted by parachuter James "Fanman" Miller?|Riddick Bowe and Evander Holyfield
Science & Nature: What's the parallel halfway between the equator and the North Pole?|The forty-fifth
People & Places: What's the Statue of Liberty's formal name?|Liberty Enlightening the World
World: What milkshake-machine salesman began franchising a popular, fast-food empire in 1955?|Ray Kroc
Science & Nature: What gives manatees indelible scars by which they're identified and tracked?|Boat propellers
Sports & Leisure: What coating insulates the ice cream in a Baked Alaska from an oven's heat?|meringue
Arts & Entertainment: What action star was set to play the Axel Foley role in "Beverly Hills Cop" but was tagged as too violent?|Sylvester Stallone
Science & Nature: What star is 93 million miles from this planet?|The sun
People & Places: What London landmark houses the crown jewels?|The Tower of London
History: How many tons did a coal miner, helped by veterans, load his first day, as an initiation?|Sixteen
World: What's Vanna White's favorite vowel?|E
History: What U.S. Civil War general got the middle name "Simpson" through a West Point clerical error?|Ulysses S. Grant
People & Places: What capital city's McDonald's became the world's largest eatery, at 40,000 customers a day?|Moscow's
Sports & Leisure: Who broke Yogi Berra's career home run record for a catcher?|Johnny Bench
Science & Nature: What naturalist spent five years aboard the "Beagle"?|Charles Darwin
Science & Nature: Which US coin tests out at 97.5 percent zinc?|The penny
World: Who sent out "breakers" from the White House during the 1970s under the CB handle "First Mama"?|Betty Ford
World: What word did Teenage Mutant Ninja Turtles use often that was first heard on the "Howdy Doody" show?|Cowabunga
Sports & Leisure: Which of Chicago Bears running back, Gayle Sayers' roommates was the subject of a TV movie?|Brian Piccolo
History: Which president wore dresses until the age of five and kilts until age eight?|Franklin D. Roosevelt
Arts & Entertainment: o'keeffe//What artist said that if she could "paint a flower in a huge scale, you could not ignore its beauty"?|Georgia O'Keeffe
World: What is more popular name of the symphonic instrument, a "cor anglais"?|A French horn
People & Places: What country has the most pay telephones per capita?|Canada
People & Places: Which U.S. city attracted the most immigrants in the 1980s?|Los Angeles
World: What alien language can you immerse yourself in at a camp in Red Lake Falls, Minnesota for $350 a week?|Klingon
Arts & Entertainment: What prop from the movie "Basic Instinct" fetched $4,125 at a 1993 auction?|The ice pick
Arts & Entertainment: What 1976 chart-topping song did Barry Manilow sing but not write?|I Write the Songs
Sports & Leisure: What playing card is also called the "suicide king"?|The king of hearts
Arts & Entertainment: What Bonnie Tyler hit, with an astronomical event in it's title, spent a month atop the charts in 1983?|Total Eclipse of the Heart
Sports & Leisure: What ESPN star coined the nicknames Bert "Be Home" Blyleven and Walt "Three Blind" Weiss?|Chris Berman
Science & Nature: What pain reliever did Miles Laboratories unleash on the world in 1931?|Alka-Seltzer
World: What future USA general's dyslexia forced him to repeat his first year at West Point?|George Patton's
Sports & Leisure: Who ran the four fastest 100 meter races in women's track history over a two-day period in 1988?|Florence Griffith-Joyner
World: What former steamboat pilot got his pen name from river lingo meaning 12 feet in depth?|Mark Twain
History: What U.S. military decoration was first established in 1782 and revived in 1932?|The Purple Heart
People & Places: What country was Australian actor Mel Gibson born in?|The U.S.
History: What, according to Shakespeare, were Julius Caesar's last three words?|Et tu, Brute?
World: What 1982 movie theme song by Survivor had an endangered cat species in its title?|Eye of the Tiger
History: What marauding sea captain was honored by his king by being knighted aboard his own ship, the "Golden Hind"?|Sir Francis Drake
Science & Nature: What substance is the largest single preventable cause of death?|Tobacco
Sports & Leisure: How many copies of the 1856 British Guiana stamp are known to exist?|One
Sports & Leisure: What country has won the most World Cup soccer titles?|Brazil
Arts & Entertainment: Who was the philosophical bartender played by Whoopi Goldberg on "Star Trek: The Next Generation"?|Guinan
World: What's the subtitle of the traditional American song "I've Been Working On The Railroad"?|Someone's in the Kitchen with Dinah
History: What fabled German phrase, when attempted by one of America's presidents, translated into "I am a jelly-filled doughnut"?|Ich bin ein Berliner
Science & Nature: What movie had Michael Keaton playing a character named after a huge star in the constellation of Orion?|Beetlejuice
People & Places: What was Manhattan's tallest building before the Empire State Building was erected?|The Chrysler Building
People & Places: What 60 storey building was completed in 1913 and remained the world's tallest buiding for 17 years?|The Woolworth Building
History: What form of ancient writing was finally deciphered with the help of a chunk of basalt known as the Rosetta Stone?|Hieroglyphics
History: What four-word moniker (nickname) did General Patton earn while commanding the Second Armored Division in 1940?|Old Blood and Guts
World: What 1958 fad, according to "Pravda," summed up the "emptiness of American culture"?|The hula hoop
Arts & Entertainment: How many kids did the sitcom mom have to deal with on "The Brady Bunch"?|Six
Sports & Leisure: How many gold medals did swimmer Mark Spitz win at the 1972 Olympics?|Seven
World: What city was the first to be terrorized by Godzilla's radioactive bad breath?|Tokyo
Sports & Leisure: Who was the first quarterback the Miami Dolphins ever chose with a first-round draft choice?|Dan Marino
People & Places: What U.S. coastal monument's internal structure was designed by Gustave Eiffel?|The Statue of Liberty's
World: Which well-known Irish actor was booted out of 15 grade schools during his rebellious youth?|Spencer Tracy
World: Who told David Frost: "When the president does it, that means that it is not illegal"?|Richard Nixon
Sports & Leisure: What Baltimore Orioles pitcher never gave up a grand slam home run in his 3,948 career innings?|Jim Palmer
Arts & Entertainment: Who conducted Mozart's memorial service in Vienna?|Antonio Salieri
People & Places: What country was the British monarch empress of from 1876 until 1901?|India
Science & Nature: What Culture Club hit song featured a member of the lizard family in it's refrain?|Karma Chameleon
Arts & Entertainment: What movie prompted "Premiere" to put a man on it's cover with the line "In Your Face"?|The Man Without a Face
History: What Wall Streeter paid fellow prison inmates to do his laundry?|Ivan Boesky
World: What Ray Charles catch phrase appeared on Pepsi cans in 1990?|Uh huh!
Science & Nature: What Washington state mountain blew its top in 1980, killing 61 people?|Mount St. Helens
People & Places: What western hemisphere event in October 1962 prompted John F. Kennedy to deliver a grave warning to the Soviet Union?|The Cuban Missile Crisis
Arts & Entertainment: How long should a well-known but short Chopin waltz last if it's popular title is taken literally?|One minute
World: What cookie does Nabisco estimate it has made more than 345 billion of since 1912?|Oreo Cookies
World: Which Clinton admitted his fantasy was "to make love in the front yard of the White House"?|Roger Clinton
People & Places: What onetime Tennessee congressman bit the dust at the Alamo?|Davy Crockett
Sports & Leisure: Who played hoops with Godzilla in a Nike ad?|Charles Barkley
Arts & Entertainment: What character did Dan Aykroyd portray in the movie "Trading Places"?|Louis Winthorpe III
Sports & Leisure: Who's the only golfer to play in U.S. Open tournaments in five different decades?|Arnold Palmer
Arts & Entertainment: What 1985 movie did Oprah Winfrey play a large role in, despite having no acting experience?|The Color Purple
Arts & Entertainment: Who rode a motorcycle to John Belushi's funeral?|Dan Aykroyd
Science & Nature: What purification process is derived from scientist, Louis Pasteur's name?|Pasteurization
History: What war saw General Douglas MacArthur command United Nations forces?|The Korean War
People & Places: Which loquacious Latin leader gave the longest speech in United Nations history?|Fidel Castro
Sports & Leisure: What record, single-season, home run total did Roger Maris establish in 1961?|Sixty-one
World: Who refused to shake Jesse Owen's hand after he won a gold medal at the 1936 Olympics?|Adolf Hitler
People & Places: What region in France must wine come from to be considered true champagne?|Champagne
World: Who's the female love interest in the tune, "Bicycle Built For Two?|Daisy
Sports & Leisure: What track star's numerous endorsements inspired advertising honchos to nickname her "Cash Flo"?|Florence Griffith Joyner's
Arts & Entertainment: What screen character discovered a novel new use for a banana in the 1984 movie, "Beverly Hills Cop"?|Axel Foley
Arts & Entertainment: What musical instrument helped win Jane Campion an Oscar for best original screenplay in 1994?|The piano
History: Whose voice did Al Gore not recognize when she phoned him on "Larry King Live"?|Tipper Gore's
Arts & Entertainment: What beloved TV sitcom star played a plainclothes nun in the movie, "Change of Habit"?|Mary Tyler Moore
World: What 19th-century cartoonist assigned the elephant and the donkey to U.S. political parties?|Thomas Nast
History: What native of Braunau, Upper Austria, marched through the Arc de Triomphe in 1940?|Adolf Hitler
World: What warbler's marriage on "The Johnny Carson Show" had more viewers than any previous late-night event?|Tiny Tim's
People & Places: At what Phillipine island was a very famous picture of U.S. Marines raising a USA flag taken in World War II?|Iwo Jima
Arts & Entertainment: What 3-D Walt Disney World short movie attraction did Francis Coppola direct?|Captain EO
History: Whose final resting place did Boris Yeltsin yank the honor guard from in 1993?|V.I. Lenin's
History: What country did Hitler's troops invade, kicking off World War II?|Poland
Sports & Leisure: What president got stuck in a gondola lift for 45 minutes during a ski trip to Vail, Colorado?|Gerald Ford
Sports & Leisure: What model stepped out of the "Sports Illustrated" swimsuit issue to pose nude for "Playboy" in '94?|Elle Macpherson
People & Places: What country was tabbed to reclaim a certain prime piece of Oriental real estate in 1997 after a British lease was up?|China
World: What famous rock star proposed to a model while nibbling on a tuna sandwich in a state park?|Rod Stewart
History: What general announced in 1968 that the Viet Cong were "about to run out of steam"?|William Westmoreland
History: Whose death elicited Vietnam's terse statement: "May he rest in peace"?|Richard Nixon's
Sports & Leisure: What sports move did a well-known, former TV talk show host conclude his opening monologues with?|A golf swing
Sports & Leisure: What NFL coach warned: "If you aren't 'fired' with enthusiasm, you will be fired with enthusiasm"?|Vince Lombardi
Sports & Leisure: What hurler said of Earl Weaver: "The only thing he knows about pitching is that he couldn't hit it"?|Jim Palmer
World: What TV host announced Smokey Robinson and the Miracles as "Smokey and the Little Smokies"?|Ed Sullivan
Arts & Entertainment: What original 'Not Ready for Prime Time Player' portrayed US president Gerald Ford in skits?|Chevy Chase
Sports & Leisure: What decathlete competed despite a stress fracture of the right fibula at the 1992 U.S. Olympic trials?|Dan O'Brien
Science & Nature: What bothers someone with pogonophobia?|a beard
People & Places: Who was the first Democrat elected president without carrying Texas?|Bill Clinton
World: What Republican president scratched the ears of a dog named Ranger?|George Bush
Sports & Leisure: What grand slam golf tournament did Arnold Palmer win in 1958, '60, '62 and '64?|The Masters
Sports & Leisure: Who was given a red Corvette with a special license plate when he set a major league baseball record?|Pete Rose
Arts & Entertainment: What were the names of the two different animals that, as a child star, Roddy McDowell play opposite in 1943 movies?|Lassie and Flicka
Arts & Entertainment: Who went double platinum by warbling "Vaya Con Dios" and "Indian Love Call" in TV ads?|Slim Whitman
Science & Nature: What rapid-firing gun did the Union army turn down in 1862?|The Gatling gun
Science & Nature: Which of these Florida cities boasts the largest average consumption of prunes:  Miami, Bradenton, or Tallahassee?|Miami
Sports & Leisure: Who donned size 11 gloves when he wasn't using his giant paws to handle a basketball for the 76ers?|Julius Erving
Sports & Leisure: Who became the third pro basketballer to score 30,000 points in his career?|Julius Erving
History: Who did Lloyd Bentsen tell in 1988: "I knew Jack Kennedy.... You're no Jack Kennedy"?|Dan Quayle
History: What couple were executed for espionage in 1953 despite pleas from Albert Einstein and the Pope, among others?|Julius and Ethel Rosenberg
Science & Nature: What do American parents of infants dump 17 billion of each year?|Disposable diapers
Sports & Leisure: What New York Yankees great once was timed running from home to first in a record 2.9 seconds?|Mickey Mantle
World: What 1989 film earned Dan Aykroyd an Oscar nomination as best supporting actor?|Driving Miss Daisy
Sports & Leisure: What coach gave mink stoles to the wives of his players after winning his first NFL title in 1961?|Vince Lombardi
Arts & Entertainment: Which of Madonna's videos drew a stern condemnation from the Vatican in 1989?|Like a Prayer
People & Places: What state's license plates began saying 'Famous Potatoes' in 1957?|Idaho's
Science & Nature: What's an organism made from the genetic material of another commonly called?|A clone
People & Places: What Egyptian leader was Gerald Ford meeting when he made a 'graceful exit' from Air Force One?  :o)|Anwar Sadat
World: What mega-selling book took Robert James Waller two weeks to write?|The Bridges of Madison County
People & Places: What tropical U.S. state has chosen the yellow hibiscus as it's state flower?|Hawaii
People & Places: What country boasts a maple leaf as its national symbol?|Canada
People & Places: What Los Angeles landmark did Sam Rodia build from steel, broken glass, sea shells and found objects?|The Watts Towers
Science & Nature: What accident prompted U.S. utility outfits to cancel orders for 11 nuclear reactors by 1980?|Three Mile Island
World: What park's tourists are in danger of having their picnic baskets picked by Yogi Bear?|Jellystone Park's
Arts & Entertainment: Who'd starred in seven of the top 25 highest grossing movies in history by 1994?|Harrison Ford
World: What physicist is given a "special thanks" for his synthesized vocals on Pink Floyd's "Keep Talking"?|Stephen Hawking
Arts & Entertainment: What movie did Spencer Tracy complete filming a matter of weeks before he died?|Guess Who's Coming to Dinner
World: What hosiery product was "hatched" in 1970 using an innovative packaging concept?|L'eggs pantyhose
People & Places: What physicist declined the presidency or a country saying he had no head for human problems?|Albert Einstein
Science & Nature: What part of the Venus Fly-trap plant is adapted to make an insect trap - the flower, leaf, stem or root?|The leaf
World: What three-word moniker did Elvis call "the most childish expression I've ever heard"?|Elvis the Pelvis
History: Which council in the United Nations organization recommends appointees to the position of secretary general?|The Security Council
People & Places: What European country contains Transylvania, commonly considered to be the home of "Count Dracula"?|Romania
Science & Nature: What company dominated the microprocessor field by the 1980s?|Intel
Science & Nature: How many bones does a shark have?|Zero
Arts & Entertainment: Who uttered zingers from the center square of the "Hollywood Squares" for 12 years?|Paul Lynde
History: What did the U.S. Post Office use as a symbol before adopting the bald eagle in 1970?|A pony express rider
Sports & Leisure: What did a well-known Dodgers' coach take to lose 40 pounds to win a bet with two of his players?|Ultra Slim-Fast
History: According to one general, what was 'the first war ever fought without any censorship'?|The Vietnam War
Arts & Entertainment: What eight-minute, 36-second hit by Don McLean did WABC call the most-played song of 1971?|American Pie
Arts & Entertainment: What hit song helped the 1986 movie, "Top Gun", starring Tom Cruise soar?|Take My Breath Away
Science & Nature: What does the male Emperor Penguine balance atop his feet for two months while its mate feeds?|An egg
Science & Nature: What tracking device was the Stealth bomber designed to evade?|Radar
World: What two-word phrase did a famous tuna receive repeatedly from Star-Kist fishermen?|"Sorry, Charlie"
Science & Nature: What Frenchman developed a vaccine to combat rabies in 1885?|Louis Pasteur
People & Places: What stands atop an 11-pointed fort in New York Harbor?|The Statue of Liberty
Science & Nature: What nation's beachgoers have been munched on most by great white sharks?|Australia's
Arts & Entertainment: What four-word line ended nine classic "Honeymooners" episodes?|"Baby, you're the greatest"
Arts & Entertainment: Who's the most popular novelist putting vampires on the best-seller list?|Anne Rice
People & Places: What malady made Napoleon uncomfortable in the saddle during the Battle of Waterloo?|Hemorrhoids
History: Who found his crown to be a perfect fit when he was invested on July 1, 1969?|Prince Charles
World: Whose verdict on her affair was: "Honey, a dirt sandwich is better than Dwight Yoakam"?|Sharon Stone's
Science & Nature: What's the heaviest naturally-occurring element?|Uranium
Science & Nature: Which of the 9 planets in our solar system is blue and white when seen from outer space?|Earth
Arts & Entertainment: What is James Whistler's painting, "Arrangement in Gray and Black", best known as?|Whistler's Mother
Arts & Entertainment: What 1986 movie earned Spike Lee his first taste of critical acclaim?|She's Gotta Have It
People & Places: Who raised $25 million on the Australian Stock Exchange to finance the film "Lightning Jack"?|Paul Hogan
Arts & Entertainment: What poet immortalized a famous silversmith's midnight ride to warn that the British were coming?|Henry Wadsworth Longfellow
People & Places: Who was the first to take off solo in New York and land in Paris?|Charles Lindbergh
Arts & Entertainment: What expense-checker did this "Twin Peaks" agent intone messages to via a microcassette recorder?|Diane
Arts & Entertainment: Who planted people in the audience to boo at the premiere of a Mozart opera?|Antonio Salieri
Arts & Entertainment: Who earned critical acclaim in 1980 for her suggestive ride on a mechanical bull?|Debra Winger
Science & Nature: What did Plennie Wingo add to his glasses before walking backward from San Francisco to Santa Monica?|Rearview mirrors
Science & Nature: What fabric is opposed by radical animal-rights activists because the host creature is boiled alive?|Silk
Sports & Leisure: What two-word question did Nancy Kerrigan repeat after she got whacked in the knee?|Why me?
Science & Nature: How many buffalo/bison roamed North America in 1492 - 600,000, 6 million or 60 million?|60 million
History: Name 2 of the 4 U.S. presidents, other than Lincoln or Kennedy, that were assassinated while in office?|James Garfield and William McKinley
People & Places: What did Russian hardliner Vladimir "Mad Vlad" Zhirinovsky threaten to take back from the U.S.?|Alaska
People & Places: What screen lover's death inspired a 1926 mob scene outside a Manhattan funeral chapel?|Rudolph Valentino's
Science & Nature: Whose flight into space earned him some rib-crunching Russian bear hugs?|Yuri Gagarin's
Arts & Entertainment: Who uttered the question: "King Tut, how'd you get so funky? King Tut, did you do the Monkey?"?|Steve Martin
Science & Nature: What name did the first atomic submarine share with Robert Fulton's 1800 version?|Nautilus
People & Places: What's the current term for a great oak log, burned at the festival of Thor?"|Yule log
Science & Nature: What's the name of the  "self-sustaining" edifice, home to eight men and women for two years?|The Biosphere
People & Places: What memorial sparked controversy when unveiled by architect and sculptor Maya Lin?|The Vietnam Veterans Memorial
People & Places: What Caribbean country still had jerry-rigged U.S. jeeps on its streets in the 1990s?|Cuba
Arts & Entertainment: What fellow artist did Van Gogh threaten with a razor before taking a swipe at himself?|Paul Gauguin
History: Who changed his name from Vernon Wayne Howell for "publicity and business purposes"?|David Koresh
People & Places: What city would you visit to see the contents of King Tut's tomb?|Cairo
History: What's the most commonly used slang term to describe helicopters?|Choppers
World: What literary character tilted at windmills, mistaking them for giants?|Don Quixote
Sports & Leisure: Who was the first man in 56 years to win both springboard and platform diving at the Olympics?|Greg Louganis
Science & Nature: What independent movie studio shares it's name with a constellation?|Orion
World: In what movie Eddie Murphy insist his character's name be changed from Willie Biggs to Reggie Hammond?|48 Hrs.
Arts & Entertainment: Who was the second black star to be in a film grossing over $100 million?|Whoopi Goldberg
Arts & Entertainment: Name one No.1 Michael Jackson hit this is a three-letter word beginning with the letter "B"|'Ben' or 'Bad'
Sports & Leisure: What bowling pin is known as the widow?|The ten pin
Sports & Leisure: How many thousand cows are needed to supply the NFL with enough footballs for a season?|Three
People & Places: What was the only U.S. state in 1992 to lose more citizens to handguns than to car crashes?|Texas
